DATE,DAILY PM2.5 AVG
8/28/21,20.186
8/29/21,11.331
8/30/21,17.1
8/31/21,12.35
9/1/21,18.501
9/2/21,22.564
9/3/21,19.34
9/4/21,16.087
9/5/21,12.998
9/6/21,20.113
9/7/21,25.922
9/8/21,12.806
9/9/21,17.219
9/10/21,15.777
9/11/21,20.779
9/12/21,17.12
9/13/21,21.491
9/14/21,20.753
9/15/21,24.647
9/16/21,14.437
9/17/21,20.99
9/18/21,19.207
9/19/21,26.133
9/20/21,14.884
9/21/21,13.708
9/22/21,11.129
9/23/21,16.767
9/24/21,11.178
9/25/21,11.702
9/26/21,12.194
9/27/21,15.779
9/28/21,23.907
9/29/21,36.448
9/30/21,21.409
10/1/21,13.411
10/2/21,24.127
10/3/21,18.971
10/4/21,23.566
10/5/21,24.628
10/6/21,22.827
10/7/21,26.756
10/8/21,28.979
10/9/21,32.992
10/10/21,19.6166
10/11/21,12.8
10/12/21,51.815
10/13/21,15.605
10/14/21,13.725
10/15/21,8.867
10/16/21,11.517
10/17/21,34.063
10/18/21,18.522
10/19/21,15.465
10/20/21,15.263
10/21/21,8.62
10/22/21,21.102
10/23/21,17.529
10/24/21,20.744
10/25/21,8.383
10/26/21,19.97
10/27/21,25.142
10/28/21,6.884
10/29/21,7.105
10/30/21,18.435
10/31/21,27.976
11/1/21,8.948
11/2/21,15.924
11/3/21,34.841
11/4/21,19.051
11/5/21,16.433
11/6/21,17.183
11/7/21,19.678
11/8/21,23.296
11/9/21,47.808
11/10/21,36.371
11/11/21,8.761
11/12/21,5.408
11/13/21,10.084
11/14/21,11.149
11/15/21,13.173
11/16/21,32.598
11/17/21,9.737
11/18/21,7.748
11/19/21,22.74
11/20/21,19.383
11/21/21,23.484
11/22/21,14.747
11/23/21,19.649
11/24/21,16.74
11/25/21,16.422
11/26/21,24.44
11/27/21,10.72
11/28/21,13.171
11/29/21,12.368
11/30/21,35.277
12/1/21,22.149
12/2/21,15.495
12/3/21,23.439
12/4/21,22.84
12/5/21,
12/6/21,
12/7/21,
12/8/21,
12/9/21,13.408
12/10/21,21.712
12/11/21,10.129
12/12/21,7.196
12/13/21,10.774
12/14/21,19.807
12/15/21,13.512
12/16/21,42.683
12/17/21,32.785
12/18/21,34.688
12/19/21,48.448
12/20/21,35.692
12/21/21,29.604
12/22/21,34.782
12/23/21,33.02
12/24/21,33.741
12/25/21,36.915
12/26/21,52.959
12/27/21,23.154
12/28/21,22.244
12/29/21,34.581
12/30/21,44.32
12/31/21,40.569
1/1/22,47.251
1/2/22,26.091
1/3/22,54.965
1/4/22,15.223
1/5/22,8.099
1/6/22,5.397
1/7/22,13.975
1/8/22,14.767
1/9/22,23.138
1/10/22,16.45
1/11/22,13.642
1/12/22,7.844
1/13/22,7.039
1/14/22,27.77
1/15/22,23.33
1/16/22,26.111
1/17/22,21.923
1/18/22,10.244
1/19/22,16.683
1/20/22,3.312
1/21/22,7.077
1/22/22,6.932
1/23/22,8.189
1/24/22,8.606
1/25/22,6.74
1/26/22,5.576
1/27/22,10.422
1/28/22,9.985
1/29/22,8.501
1/30/22,21.209
1/31/22,23.035
2/1/22,12.507
2/2/22,6.589
2/3/22,7.555
2/4/22,9.674
2/5/22,9.65
2/6/22,9.914
2/7/22,14.283
2/8/22,8.138
2/9/22,6.495
2/10/22,7.093
2/11/22,1.793
2/12/22,8.758
2/13/22,6.535
2/14/22,8.269
2/15/22,16.271
2/16/22,9.592
2/17/22,20.884
2/18/22,14.189
2/19/22,7.637
2/20/22,7.498
2/21/22,15.834
2/22/22,16.87
2/23/22,9.647
2/24/22,18.503
2/25/22,20.116
2/26/22,33.821
2/27/22,33.393
2/28/22,25.426
3/1/22,17.71
3/2/22,26.337
3/3/22,33.42
3/4/22,25.819
3/5/22,41.307
3/6/22,20.079
3/7/22,24.137
3/8/22,35.598
3/9/22,13.823
3/10/22,11.337
3/11/22,13.814
3/12/22,4.457
3/13/22,5.651
3/14/22,9.619
3/15/22,30.359
3/16/22,38.115
3/17/22,14.998
3/18/22,6.472
3/19/22,12.78
3/20/22,10.973
3/21/22,21.783
3/22/22,16.303
3/23/22,6.618
3/24/22,10.194
3/25/22,9.372
3/26/22,6.687
3/27/22,3.835
3/28/22,18.628
3/29/22,19.07
3/30/22,13.095
3/31/22,17.347
4/1/22,22.458
4/2/22,9.583
4/3/22,16.624
4/4/22,25.908
4/5/22,12.294
4/6/22,0.828
4/7/22,2.581
4/8/22,2.339
4/9/22,9.689
4/10/22,12.536
4/11/22,14.335
4/12/22,18.715
4/13/22,8.732
4/14/22,8.771
4/15/22,13.706
4/16/22,12.281
4/17/22,14.861
4/18/22,15.467
4/19/22,13.578
4/20/22,9.791
4/21/22,25.797
4/22/22,14.755
4/23/22,9.54
4/24/22,4.574
4/25/22,3.413
4/26/22,8.787
4/27/22,5.132
4/28/22,6.483
4/29/22,16.616
4/30/22,4.179
5/1/22,3.366
5/2/22,9.327
5/3/22,6.067
5/4/22,11.222
5/5/22,19.859
5/6/22,6.961
5/7/22,17.855
5/8/22,7.263
5/9/22,24.977
5/10/22,39.994
5/11/22,30.747
5/12/22,14.231
5/13/22,9.278
5/14/22,12.041
5/15/22,11.248
5/16/22,8.141
5/17/22,11.243
5/18/22,9.121
5/19/22,14.615
5/20/22,9.161
5/21/22,3.122
5/22/22,6.372
5/23/22,8.627
5/24/22,10.488
5/25/22,11.509
5/26/22,5.636
5/27/22,9.539
5/28/22,7.118
5/29/22,8.904
