date,pollutant,ws,wd
2021-03-10,20.101,11.38,213.25
2021-03-11,5.136,3.82,205.06
2021-03-12,11.791,5.67,75.25
2021-03-13,13.303,6.56,89.25
2021-03-14,12.792,9.67,101.25
2021-03-15,13.097,4.38,112.19
2021-03-16,29.976,4.3,65.12
2021-03-17,16.196,9.05,86.31
2021-03-18,16.6,8.82,165.94
2021-03-19,6.865,4.09,65.38
2021-03-20,8.986,4.77,153.94
2021-03-21,16.856,7.84,180.81
2021-03-22,37.223,5.95,164.69
2021-03-23,18.039,8.43,174.06
2021-03-24,2.567,5,226.31
2021-03-25,9.527,3.26,132.12
2021-03-26,17.956,3.65,170
2021-03-27,11.526,5.96,269.44
2021-03-28,8.191,4.95,275.56
2021-03-29,21.118,10.76,188.06
2021-03-30,12.828,7.48,310.56
2021-03-31,3.893,5.45,265.88
2021-04-01,8.741,2.76,64.5
2021-04-02,32.9,6.65,174.19
2021-04-03,35.098,6.3,210.5
2021-04-04,37.232,6.1,208.12
2021-04-05,15.703,7.36,194.12
2021-04-06,15.619,7.81,175.25
2021-04-07,15.346,7.71,200.5
2021-04-08,2.462,5.77,265.44
2021-04-09,10.729,4.02,252.44
2021-04-10,7.304,6.82,302.25
2021-04-11,8.925,3.57,245.12
2021-04-12,9.451,4.84,341
2021-04-13,7.327,3.52,338.75
2021-04-14,7.755,4.45,259.94
2021-04-15,11.416,2.73,94.5
2021-04-16,16.908,3.22,105.12
2021-04-17,33.435,3.98,316.19
2021-04-18,11.412,3.77,291.88
2021-04-19,16.192,5.61,257.06
2021-04-20,9.478,4.42,326.25
2021-04-21,12.743,4.78,300.94
2021-04-22,20.551,3.16,199.31
2021-04-23,18.089,4,121
2021-04-24,34.29,4.86,212.81
2021-04-25,33.526,5.61,149.94
2021-04-26,9.619,9.58,188.56
2021-04-27,9.04,7.8,205
2021-04-28,24.327,2.88,222.75
2021-04-29,21.57,5.18,326.38
2021-04-30,9.821,2.95,169.69
2021-05-01,7.788,6.59,208.62
2021-05-02,12.315,5.41,184.25
2021-05-03,14.628,4.96,266.31
2021-05-04,8.49,5.66,247.56
2021-05-05,11.357,2.24,184.44
2021-05-06,12.173,5.59,317
2021-05-07,12.357,3.62,235.06
2021-05-08,16.428,5.82,143.19
2021-05-09,5.328,6.05,71.81
2021-05-10,14.619,1.42,90.31
2021-05-11,19.477,3.81,121.06
2021-05-12,7.302,4,81
2021-05-13,15.552,2.98,122.88
2021-05-14,8.107,4.24,174.31
2021-05-15,10.26,3.82,161.69
2021-05-16,17.844,2.17,148.31
2021-05-17,15.271,4.16,90.5
2021-05-18,10.526,3.2,161.94
2021-05-19,11.264,4.75,148.12
2021-05-20,10.654,5.2,165.31
2021-05-21,7.657,6.02,160.38
2021-05-22,10.339,4.62,178.5
2021-05-23,16.637,3.12,193.19
2021-05-24,23.859,3.74,194.69
2021-05-25,12.452,5.49,199.19
2021-05-26,11.887,3.09,173
2021-05-27,9.163,4.81,238.19
2021-05-28,6.636,5.54,238.25
2021-05-29,3.578,3.66,71.44
2021-05-30,11.69,2.33,148.56
2021-05-31,21.713,1.56,88.25
2021-06-01,20.486,2.7,87.69
2021-06-02,19.371,2.12,129.56
2021-06-03,22.7,2.1,252.31
2021-06-04,14.335,4.02,211.25
2021-06-05,10.222,4.51,198.62
2021-06-06,13.884,4.17,171.75
2021-06-07,8.651,3.33,166.56
2021-06-08,10.494,2.17,123.12
2021-06-09,17.88,1.96,106.31
2021-06-10,16.057,2.27,130.12
2021-06-11,16.094,2.82,150.75
2021-06-12,9.14,3.55,14.12
2021-06-13,11.572,2.91,65.94
2021-06-14,11.192,1.91,255.25
2021-06-15,9.446,2.61,100.62
2021-06-16,12.322,2.32,154.75
2021-06-17,17.127,3.98,219.12
2021-06-18,15.544,5.77,212.44
2021-06-19,28.431,4.88,214.12
2021-06-20,27.802,5.92,221.69
2021-06-21,5.759,4.58,276.88
2021-06-22,8.072,5.12,196.88
2021-06-23,9.659,6.83,186.44
2021-06-24,25.878,6.23,171.81
2021-06-25,13.753,5.27,192.62
2021-06-26,4.943,5.01,236.44
2021-06-27,15.677,1.62,138
2021-06-28,21.113,2.44,150.81
2021-06-29,9.142,2.29,187.44
2021-06-30,11.227,1.49,142.62
2021-07-01,13.034,3.55,50.69
2021-07-02,23.294,2.39,120.06
2021-07-03,36.573,2.41,149.31
2021-07-04,36.115,2.21,193
2021-07-05,70.355,2.57,183.62
2021-07-06,17.81,2.59,196.81
2021-07-07,22.946,3.63,254.69
2021-07-08,14.35,2.7,179.94
2021-07-09,17.842,4.6,185
2021-07-10,9.217,4.59,259.12
2021-07-11,13.453,5.38,205.06
2021-07-12,16.344,3.7,342.31
2021-07-13,21.239,3.1,208.12
2021-07-14,14.943,6.23,201.25
2021-07-15,9.498,3.32,184.94
2021-07-16,12.253,3.13,63.94
2021-07-17,17.818,3.63,88.75
2021-07-18,24.041,3.73,60.62
2021-07-19,27.141,2.81,66.38
2021-07-20,30.252,2.26,76.31
2021-07-21,35.648,1.34,148.81
2021-07-22,46.396,3.27,194.38
2021-07-23,48.156,3.46,202.31
2021-07-24,17.708,3.69,225.69
2021-07-25,20.347,2.59,114.31
2021-07-26,38.834,3.21,98.25
2021-07-27,39.117,1.79,138.44
2021-07-28,32.962,2.3,206.06
2021-07-29,21.767,3.76,239.75
2021-07-30,25.445,1.73,219.5
2021-07-31,21.742,3.7,170.06
2021-08-01,69.555,3.31,141.88
2021-08-02,93.083,2.74,54.5
2021-08-03,35.878,2.65,82.75
2021-08-04,33.625,2.72,128.56
2021-08-05,37.792,5.16,197.12
2021-08-06,39.793,4.48,198.94
2021-08-07,34.856,5.89,185.25
2021-08-08,22.737,5.59,198.88
2021-08-09,13.53,5.14,206.75
2021-08-10,16.97,6.3,200.31
2021-08-11,12.956,6.86,200.94
2021-08-12,10.918,4.41,193.5
2021-08-13,10.729,2.59,147.88
2021-08-14,11.766,2.48,67.56
2021-08-15,11.597,3.18,106.88
2021-08-16,17.437,2.68,120.75
2021-08-17,20.667,2.62,157.62
2021-08-18,21.118,2.81,157.56
2021-08-19,21.085,3.27,138.88
2021-08-20,16.632,4.38,165
2021-08-21,10.72,4.13,256.25
2021-08-22,12.322,3.26,117.44
2021-08-23,12.433,4.66,193.62
2021-08-24,11.824,5.82,189.12
2021-08-25,12.53,3.23,166.62
2021-08-26,12.689,2.95,175.38
2021-08-27,24.503,5.05,192.31
2021-08-28,20.186,4.62,189
2021-08-29,11.331,2.2,173
2021-08-30,17.1,2.09,113.94
2021-08-31,12.35,3.23,185.19
2021-09-01,18.501,4.42,76.31
2021-09-02,22.564,5.17,127.25
2021-09-03,19.34,4.56,196.31
2021-09-04,16.087,3.27,90.88
2021-09-05,12.998,1.81,162.25
2021-09-06,20.113,3.8,216.94
2021-09-07,25.922,5.63,264.06
2021-09-08,12.806,3.76,263.69
2021-09-09,17.219,1.97,162.88
2021-09-10,15.777,4.47,196.81
2021-09-11,20.779,6.27,207.88
2021-09-12,17.12,5.8,203.12
2021-09-13,21.491,6.17,195.69
2021-09-14,20.753,4.03,218.31
2021-09-15,24.647,3.57,91.06
2021-09-16,14.437,4.15,161.38
2021-09-17,20.99,2.77,190
2021-09-18,19.207,2.33,93.94
2021-09-19,26.133,3.82,155.06
2021-09-20,14.884,6.7,226.06
2021-09-21,13.708,5.7,347
2021-09-22,11.129,3.37,274.38
2021-09-23,16.767,2.45,205.12
2021-09-24,11.178,5.91,256.62
2021-09-25,11.702,2.45,265.5
2021-09-26,12.194,7.34,201.38
2021-09-27,15.779,6.06,213.44
2021-09-28,23.907,3.76,188.06
2021-09-29,36.448,2.98,154.62
2021-09-30,21.409,2.94,155.31
2021-10-01,13.411,2.81,186.12
2021-10-02,24.127,2.55,288.56
2021-10-03,18.971,3.84,317.31
2021-10-04,23.566,2.92,138.94
2021-10-05,24.628,3.2,63.06
2021-10-06,22.827,2.87,60.75
2021-10-07,26.756,1.41,147.19
2021-10-08,28.979,3.84,156.56
2021-10-09,32.992,6.74,191.62
2021-10-10,19.6166,5.44,204.5
2021-10-11,12.8,6.39,289.81
2021-10-12,51.815,2.92,188.62
2021-10-13,15.605,6.3,226.25
2021-10-14,13.725,2.8,121
2021-10-15,8.867,5.35,210.56
2021-10-16,11.517,4.16,292.94
2021-10-17,34.063,2.94,210.31
2021-10-18,18.522,4.86,194.88
2021-10-19,15.465,6.17,176
2021-10-20,15.263,5.69,238.62
2021-10-21,8.62,4.46,258.06
2021-10-22,21.102,1.91,154.12
2021-10-23,17.529,4.49,109.25
2021-10-24,20.744,8.45,225.88
2021-10-25,8.383,3.88,156.56
2021-10-26,19.97,6.13,126.25
2021-10-27,25.142,6.49,122.12
2021-10-28,6.884,8.49,184.12
2021-10-29,7.105,7.8,345.25
2021-10-30,18.435,2.94,290.19
2021-10-31,27.976,5.38,247.69
2021-11-01,8.948,2.25,81.06
2021-11-02,15.924,1.45,136.31
2021-11-03,34.841,1.3,159.19
2021-11-04,19.051,3.22,177.56
2021-11-05,16.433,4.8,189.88
2021-11-06,17.183,4.92,201.88
2021-11-07,19.678,6.84,189.69
2021-11-08,23.296,4.32,203.56
2021-11-09,47.808,2.77,98.5
2021-11-10,36.371,5.85,183.94
2021-11-11,8.761,7.49,283.88
2021-11-12,5.408,7.94,294.56
2021-11-13,10.084,3.91,255.19
2021-11-14,11.149,4.89,261.88
2021-11-15,13.173,4.75,216.31
2021-11-16,32.598,6.23,195.38
2021-11-17,9.737,5.95,251.62
2021-11-18,7.748,4.41,270.38
2021-11-19,22.74,5.28,170.19
2021-11-20,19.383,3.59,165.06
2021-11-21,23.484,4.52,297.56
2021-11-22,14.747,2.54,139.31
2021-11-23,19.649,5.64,177.12
2021-11-24,16.74,6.83,234.44
2021-11-25,16.422,5.7,324.44
2021-11-26,24.44,5.08,195.5
2021-11-27,10.72,4.6,290.62
2021-11-28,13.171,2.8,276.94
2021-11-29,12.368,5.15,229.38
2021-11-30,35.277,2.6,88.44
2021-12-01,22.149,3.55,263.38
2021-12-02,15.495,3.8,209.94
2021-12-03,23.439,4.49,171.69
2021-12-04,22.84,5.22,67.56
2021-12-05,18.432,6.74,245.12
2021-12-06,6.658,6.08,249.56
2021-12-07,8.754,4.81,176.38
2021-12-08,12.416,3.41,205.06
2021-12-09,13.408,5.24,197.06
2021-12-10,21.712,7.93,173
2021-12-11,10.129,6.84,269.06
2021-12-12,7.196,6.77,200.31
2021-12-13,10.774,4.24,186.44
2021-12-14,19.807,6.22,183.12
2021-12-15,13.512,12.26,210.75
2021-12-16,42.683,4.29,256.06
2021-12-17,32.785,4.94,89.25
2021-12-18,34.688,5.34,335.88
